@relation Hailfinder

@attribute WindFieldMt {Westerly,LVorOther}
@attribute MorningCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute VISCloudCov {Cloudy,PC,Clear}
@attribute IRCloudCover {Cloudy,PC,Clear}
@attribute AMInstabMt {None,Weak,Strong}
@attribute R5Fcst {NIL,SIG,SVR}
@attribute MountainFcst {NIL,SIG,SVR}
@attribute MeanRH {VeryMoist,Average,Dry}
@attribute MidLLapse {CloseToDryAd,Steep,ModerateOrLe}
@attribute RHRatio {MoistMDryL,DryMMoistL,Other}
@attribute LoLevMoistAd {StrongPos,WeakPos,Neutral,Negative}
@attribute LowLLapse {CloseToDryAd,Steep,ModerateOrLe,Stable}
@attribute MvmtFeatures {StrongFront,MarkedUpper,OtherRapid,NoMajor}
@attribute TempDis {QStationary,Moving,None,Other}
@attribute WindAloft {LV,SWQuad,NWQuad,AllElse}
@attribute AMCINInScen {LessThanAve,Average,MoreThanAve}
@attribute CapChange {Decreasing,LittleChange,Increasing}
@attribute SynForcng {SigNegative,NegToPos,SigPositive,PosToNeg,LittleChange}
@attribute SatContMoist {VeryWet,Wet,Neutral,Dry}
@attribute RaoContMoist {VeryWet,Wet,Neutral,Dry}
@attribute CombMoisture {VeryWet,Wet,Neutral,Dry}
@attribute LatestCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute LLIW {Unfavorable,Weak,Moderate,Strong}
@attribute Date {May15_Jun14,Jun15_Jul1,Jul2_Jul15,Jul16_Aug10,Aug11_Aug20,Aug20_Sep15}
@attribute WindFieldPln {LV,DenvCyclone,LongAnticyc,E_NE,SEQuad,WidespdDnsl}
@attribute Dewpoints {LowEvrywhere,LowAtStation,LowSHighN,LowNHighS,LowMtsHighPl,HighEvrywher,Other}
@attribute SfcWndShfDis {DenvCyclone,E_W_N,E_W_S,MovingFtorOt,DryLine,None,Other}
@attribute InsChange {Decreasing,LittleChange,Increasing}
@attribute MorningBound {None,Weak,Strong}
@attribute OutflowFrMt {None,Weak,Strong}
@attribute WndHodograph {DCVZFavor,StrongWest,Westerly,Other}
@attribute N34StarFcst {NIL,SIG,SVR}
@attribute AreaMoDryAir {VeryWet,Wet,Neutral,Dry}
@attribute CombClouds {Cloudy,PC,Clear}
@attribute ScenRelAMCIN {AB,CThruK}
@attribute LIfr12ZDENSd {LIGt0,N1GtLIGt_4,N5GtLIGt_8,LILt_8}
@attribute AMDewptCalPl {Instability,Neutral,Stability}
@attribute AMInsWliScen {LessUnstable,Average,MoreUnstable}
@attribute N0_7muVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute SubjVertMo {StronUp,WeakUp,Neutral,Down}
@attribute QGVertMotion {StrongUp,WeakUp,Neutral,Down}
@attribute CombVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute AreaMeso_ALS {StrongUp,WeakUp,Neutral,Down}
@attribute CldShadeOth {Cloudy,PC,Clear}
@attribute Boundaries {None,Weak,Strong}
@attribute CldShadeConv {None,Some,Marked}
@attribute InsInMt {None,Weak,Strong}
@attribute ScenRel3_4 {ACEFK,B,D,GJ,HI}
@attribute ScenRelAMIns {ABI,CDEJ,F,G,H,K}
@attribute CompPlFcst {IncCapDecIns,LittleChange,DecCapIncIns}
@attribute CurPropConv {None,Slight,Moderate,Strong}
@attribute Scenario {A,B,C,D,E,F,G,H,I,J,K}
@attribute CapInScen {LessThanAve,Average,MoreThanAve}
@attribute InsSclInScen {LessUnstable,Average,MoreUnstable}
@attribute ScnRelPlFcst {A,B,C,D,E,F,G,H,I,J,K}
@attribute PlainsFcst {NIL,SIG,SVR}

@data
Westerly,TotalInhibit,PC,Clear,None,NIL,NIL,Average,ModerateOrLe,DryMMoistL,WeakPos,ModerateOrLe,OtherRapid,Other,LV,MoreThanAve,LittleChange,LittleChange,Dry,Neutral,Neutral,TotalInhibit,Moderate,Jul16_Aug10,LV,LowMtsHighPl,DryLine,LittleChange,None,None,StrongWest,NIL,Wet,PC,CThruK,N1GtLIGt_4,Instability,Average,Neutral,WeakUp,Neutral,WeakUp,WeakUp,PC,None,None,None,GJ,CDEJ,LittleChange,Slight,J,MoreThanAve,Average,J,NIL
LVorOther,PartInhibit,PC,PC,Strong,SVR,SIG,Dry,Steep,MoistMDryL,Neutral,ModerateOrLe,OtherRapid,Other,LV,LessThanAve,LittleChange,LittleChange,Wet,Neutral,Neutral,PartInhibit,Strong,Aug20_Sep15,LV,LowSHighN,DryLine,LittleChange,Weak,None,Other,SVR,Wet,PC,CThruK,N5GtLIGt_8,Stability,Average,Neutral,StronUp,Neutral,StrongUp,StrongUp,Cloudy,None,Some,Strong,GJ,CDEJ,LittleChange,Strong,J,LessThanAve,Average,J,SIG
LVorOther,PartInhibit,Clear,Clear,Weak,SVR,SVR,Dry,CloseToDryAd,Other,WeakPos,Steep,NoMajor,Other,LV,Average,Increasing,PosToNeg,Neutral,Neutral,Neutral,None,Weak,Jul2_Jul15,LongAnticyc,LowAtStation,E_W_S,Increasing,None,Weak,DCVZFavor,NIL,Wet,Clear,CThruK,N5GtLIGt_8,Stability,LessUnstable,StrongUp,StronUp,Neutral,StrongUp,StrongUp,PC,None,Marked,Strong,GJ,CDEJ,IncCapDecIns,Slight,J,MoreThanAve,LessUnstable,J,NIL
Westerly,Stifling,Clear,Clear,None,SVR,NIL,Dry,CloseToDryAd,MoistMDryL,Negative,CloseToDryAd,NoMajor,None,NWQuad,Average,Increasing,NegToPos,VeryWet,Neutral,Wet,PartInhibit,Weak,Jul16_Aug10,LongAnticyc,Other,E_W_S,LittleChange,Weak,None,StrongWest,SVR,Wet,Clear,CThruK,LILt_8,Instability,MoreUnstable,Down,Neutral,Neutral,Down,Down,Clear,Weak,None,None,ACEFK,CDEJ,IncCapDecIns,None,C,MoreThanAve,MoreUnstable,C,SVR
Westerly,TotalInhibit,PC,PC,Strong,SIG,SIG,Dry,Steep,MoistMDryL,Negative,CloseToDryAd,MarkedUpper,None,SWQuad,MoreThanAve,LittleChange,PosToNeg,Wet,Neutral,Neutral,PartInhibit,Moderate,Aug20_Sep15,LongAnticyc,LowEvrywhere,DryLine,LittleChange,None,Weak,Other,NIL,Neutral,PC,CThruK,LIGt0,Stability,LessUnstable,Down,WeakUp,StrongUp,Neutral,Neutral,Clear,Weak,Marked,Strong,GJ,G,LittleChange,Slight,G,MoreThanAve,LessUnstable,G,NIL
Westerly,None,PC,Clear,Strong,NIL,NIL,Dry,CloseToDryAd,MoistMDryL,Negative,CloseToDryAd,MarkedUpper,None,AllElse,Average,Increasing,LittleChange,Wet,Dry,Wet,None,Weak,Jul16_Aug10,LV,LowEvrywhere,DryLine,Decreasing,Weak,Strong,Westerly,NIL,Neutral,Cloudy,CThruK,N1GtLIGt_4,Neutral,Average,Down,Down,StrongUp,Down,Down,Cloudy,Weak,Marked,Strong,GJ,G,IncCapDecIns,Slight,G,Average,LessUnstable,G,NIL
LVorOther,PartInhibit,PC,Clear,Weak,NIL,NIL,Dry,ModerateOrLe,DryMMoistL,Negative,Steep,StrongFront,None,AllElse,LessThanAve,LittleChange,LittleChange,Neutral,Neutral,Dry,None,Weak,Jul2_Jul15,WidespdDnsl,LowEvrywhere,DryLine,Decreasing,Weak,Strong,DCVZFavor,NIL,Neutral,Clear,CThruK,N1GtLIGt_4,Neutral,Average,Neutral,WeakUp,Neutral,WeakUp,WeakUp,Clear,Strong,Marked,Strong,D,CDEJ,LittleChange,Moderate,D,LessThanAve,LessUnstable,D,NIL
LVorOther,PartInhibit,PC,Clear,Strong,NIL,NIL,VeryMoist,ModerateOrLe,Other,StrongPos,Stable,NoMajor,None,AllElse,LessThanAve,Decreasing,NegToPos,Dry,Wet,Wet,PartInhibit,Strong,Aug11_Aug20,LV,HighEvrywher,None,Increasing,Strong,Strong,StrongWest,NIL,Wet,Clear,CThruK,N1GtLIGt_4,Stability,Average,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Clear,Strong,Marked,Strong,ACEFK,F,DecCapIncIns,Strong,F,LessThanAve,MoreUnstable,F,NIL
LVorOther,Stifling,Cloudy,PC,Strong,SIG,SIG,VeryMoist,CloseToDryAd,Other,Neutral,Steep,MarkedUpper,Other,AllElse,MoreThanAve,Increasing,NegToPos,Neutral,Dry,Dry,None,Unfavorable,Jul2_Jul15,LV,LowMtsHighPl,E_W_S,LittleChange,Weak,Weak,StrongWest,NIL,Dry,PC,CThruK,N1GtLIGt_4,Stability,Average,Neutral,StronUp,StrongUp,StrongUp,StrongUp,Cloudy,Weak,Marked,Strong,ACEFK,CDEJ,IncCapDecIns,Slight,C,MoreThanAve,Average,C,SIG
Westerly,PartInhibit,Clear,PC,Weak,SVR,SIG,Average,Steep,MoistMDryL,Neutral,CloseToDryAd,OtherRapid,Other,AllElse,MoreThanAve,LittleChange,NegToPos,Wet,Neutral,Neutral,None,Moderate,May15_Jun14,LongAnticyc,LowAtStation,E_W_S,LittleChange,Weak,Weak,DCVZFavor,SVR,Neutral,Clear,CThruK,N1GtLIGt_4,Neutral,Average,WeakUp,Down,Neutral,WeakUp,WeakUp,Clear,Weak,Some,Weak,ACEFK,CDEJ,LittleChange,Moderate,C,MoreThanAve,Average,C,SVR
